"trainer/global_step","finetune-200-epochs-from-new-weights - _step","finetune-200-epochs-from-new-weights - _step__MIN","finetune-200-epochs-from-new-weights - _step__MAX","finetune-200-epochs-from-new-weights - train_loss_mean","finetune-200-epochs-from-new-weights - train_loss_mean__MIN","finetune-200-epochs-from-new-weights - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1399-epochs - _step","finetune-200-epochs-from-synthetic-1399-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1399-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1399-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-1199-epochs - _step","finetune-200-epochs-from-synthetic-1199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-1199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-1199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-999-epochs - _step","finetune-200-epochs-from-synthetic-999-epochs - _step__MIN","finetune-200-epochs-from-synthetic-999-epochs - _step__MAX","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-999-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-799-epochs - _step","finetune-200-epochs-from-synthetic-799-epochs - _step__MIN","finetune-200-epochs-from-synthetic-799-epochs - _step__MAX","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-799-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-199-epochs - _step","finetune-200-epochs-from-synthetic-199-epochs - _step__MIN","finetune-200-epochs-from-synthetic-199-epochs - _step__MAX","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-199-epochs - train_loss_mean__MAX","finetune-200-epochs-from-synthetic-599-epochs - _step","finetune-200-epochs-from-synthetic-599-epochs - _step__MIN","finetune-200-epochs-from-synthetic-599-epochs - _step__MAX","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MIN","finetune-200-epochs-from-synthetic-599-epochs - train_loss_mean__MAX"
"356","35","35","35","160.78509521484375","160.78509521484375","160.78509521484375","35","35","35","93.31424713134766","93.31424713134766","93.31424713134766","35","35","35","94.37115478515625","94.37115478515625","94.37115478515625","35","35","35","104.15177917480469","104.15177917480469","104.15177917480469","35","35","35","114.40479278564453","114.40479278564453","114.40479278564453","207.5","35","380","144.5793914794922","144.43917846679688","144.7196044921875","207.5","35","380","122.5300407409668","122.12660217285156","122.93347930908203"
"373","36","36","36","160.05418395996094","160.05418395996094","160.05418395996094","36","36","36","89.64801025390625","89.64801025390625","89.64801025390625","36","36","36","95.28621673583984","95.28621673583984","95.28621673583984","36","36","36","104.21930694580078","104.21930694580078","104.21930694580078","36","36","36","111.24797058105469","111.24797058105469","111.24797058105469","208.5","36","381","145.13990020751953","145.05001831054688","145.2297821044922","208.5","36","381","121.18319702148438","121.14698028564453","121.21941375732422"
"390","37","37","37","160.25440979003906","160.25440979003906","160.25440979003906","37","37","37","92.00262451171875","92.00262451171875","92.00262451171875","37","37","37","97.60005187988281","97.60005187988281","97.60005187988281","37","37","37","103.76313018798828","103.76313018798828","103.76313018798828","37","37","37","111.84058380126953","111.84058380126953","111.84058380126953","209.5","37","382","144.2143096923828","143.8783416748047","144.55027770996094","209.5","37","382","122.25556564331055","122.16124725341797","122.34988403320312"
"407","40","40","40","160.06805419921875","160.06805419921875","160.06805419921875","40","40","40","90.25250244140625","90.25250244140625","90.25250244140625","40","40","40","92.97786712646484","92.97786712646484","92.97786712646484","40","40","40","98.23202514648438","98.23202514648438","98.23202514648438","40","40","40","107.132080078125","107.132080078125","107.132080078125","212.5","40","385","143.8790283203125","143.39450073242188","144.36355590820312","212.5","40","385","120.82350158691406","119.24958801269531","122.39741516113281"
"424","42","42","42","160.06805419921875","160.06805419921875","160.06805419921875","41","41","41","84.472412109375","84.472412109375","84.472412109375","41","41","41","95.07513427734375","95.07513427734375","95.07513427734375","41","41","41","99.74300384521484","99.74300384521484","99.74300384521484","41","41","41","105.58576965332031","105.58576965332031","105.58576965332031","213.5","41","386","143.50692749023438","143.44532775878906","143.5685272216797","213.5","41","386","122.78557968139648","122.61807250976562","122.95308685302734"
"441","43","43","43","159.6663055419922","159.6663055419922","159.6663055419922","42","42","42","87.05509948730469","87.05509948730469","87.05509948730469","42","42","42","92.7068099975586","92.7068099975586","92.7068099975586","42","42","42","100.45198059082031","100.45198059082031","100.45198059082031","42","42","42","105.12887573242188","105.12887573242188","105.12887573242188","214.5","42","387","143.4328155517578","143.26678466796875","143.59884643554688","214.5","42","387","120.4879150390625","120.04931640625","120.926513671875"
"458","46","46","46","159.6300506591797","159.6300506591797","159.6300506591797","45","45","45","87.30905151367188","87.30905151367188","87.30905151367188","45","45","45","95.2022933959961","95.2022933959961","95.2022933959961","45","45","45","100.57246398925781","100.57246398925781","100.57246398925781","45","45","45","105.48754119873047","105.48754119873047","105.48754119873047","217.5","45","390","142.7517852783203","142.6956024169922","142.80796813964844","217.5","45","390","119.7242546081543","117.88020324707031","121.56830596923828"
"475","47","47","47","159.74510192871094","159.74510192871094","159.74510192871094","46","46","46","88.80048370361328","88.80048370361328","88.80048370361328","46","46","46","87.50946044921875","87.50946044921875","87.50946044921875","46","46","46","99.16830444335938","99.16830444335938","99.16830444335938","46","46","46","103.10674285888672","103.10674285888672","103.10674285888672","218.5","46","391","142.5210189819336","141.89840698242188","143.1436309814453","218.5","46","391","118.53121566772461","118.31523132324219","118.74720001220703"
"492","48","48","48","159.0614013671875","159.0614013671875","159.0614013671875","47","47","47","88.4255142211914","88.4255142211914","88.4255142211914","47","47","47","88.73281860351562","88.73281860351562","88.73281860351562","47","47","47","97.65211486816406","97.65211486816406","97.65211486816406","47","47","47","108.05133056640625","108.05133056640625","108.05133056640625","219.5","47","392","142.54743194580078","141.8914031982422","143.20346069335938","219.5","47","392","118.54217529296875","118.17727661132812","118.90707397460938"
"509","51","51","51","158.39279174804688","158.39279174804688","158.39279174804688","50","50","50","85.04423522949219","85.04423522949219","85.04423522949219","50","50","50","90.45072937011719","90.45072937011719","90.45072937011719","50","50","50","94.38253021240234","94.38253021240234","94.38253021240234","50","50","50","102.03128814697266","102.03128814697266","102.03128814697266","222.5","50","395","143.31819915771484","142.98167419433594","143.65472412109375","222.5","50","395","118.82380294799805","117.38472747802734","120.26287841796875"
"526","52","52","52","159.02061462402344","159.02061462402344","159.02061462402344","51","51","51","85.99671936035156","85.99671936035156","85.99671936035156","51","51","51","89.69343566894531","89.69343566894531","89.69343566894531","51","51","51","93.60203552246094","93.60203552246094","93.60203552246094","51","51","51","102.5669937133789","102.5669937133789","102.5669937133789","223.5","51","396","142.96819305419922","142.51158142089844","143.4248046875","223.5","51","396","117.74879837036133","117.68622589111328","117.81137084960938"
"543","53","53","53","159.30506896972656","159.30506896972656","159.30506896972656","52","52","52","85.74047088623047","85.74047088623047","85.74047088623047","52","52","52","92.77391052246094","92.77391052246094","92.77391052246094","52","52","52","94.6861572265625","94.6861572265625","94.6861572265625","52","52","52","100.86621856689453","100.86621856689453","100.86621856689453","224.5","52","397","142.8374481201172","142.2144317626953","143.46046447753906","224.5","52","397","116.80514526367188","114.28185272216797","119.32843780517578"
"560","56","56","56","158.8006591796875","158.8006591796875","158.8006591796875","55","55","55","81.55657196044922","81.55657196044922","81.55657196044922","55","55","55","89.51603698730469","89.51603698730469","89.51603698730469","55","55","55","91.9324951171875","91.9324951171875","91.9324951171875","55","55","55","102.39278411865234","102.39278411865234","102.39278411865234","227.5","55","400","142.31645965576172","142.11473083496094","142.5181884765625","227.5","55","400","116.51194763183594","114.79914855957031","118.22474670410156"
"577","57","57","57","158.88668823242188","158.88668823242188","158.88668823242188","56","56","56","82.65748596191406","82.65748596191406","82.65748596191406","56","56","56","86.06773376464844","86.06773376464844","86.06773376464844","56","56","56","95.82913970947266","95.82913970947266","95.82913970947266","56","56","56","100.6794204711914","100.6794204711914","100.6794204711914","228.5","56","401","141.93460845947266","141.4324188232422","142.43679809570312","228.5","56","401","114.20342254638672","112.35108184814453","116.0557632446289"
"594","58","58","58","158.6839599609375","158.6839599609375","158.6839599609375","57","57","57","81.0006103515625","81.0006103515625","81.0006103515625","57","57","57","86.66651916503906","86.66651916503906","86.66651916503906","57","57","57","94.61454772949219","94.61454772949219","94.61454772949219","57","57","57","98.11194610595703","98.11194610595703","98.11194610595703","229.5","57","402","141.80789947509766","141.2283477783203","142.387451171875","229.5","57","402","114.0917854309082","111.49662780761719","116.68694305419922"
"611","61","61","61","158.5626983642578","158.5626983642578","158.5626983642578","60","60","60","82.86447143554688","82.86447143554688","82.86447143554688","60","60","60","85.33139038085938","85.33139038085938","85.33139038085938","60","60","60","92.44831848144531","92.44831848144531","92.44831848144531","60","60","60","97.33687591552734","97.33687591552734","97.33687591552734","232.5","60","405","141.31452178955078","141.20538330078125","141.4236602783203","232.5","60","405","111.87934494018555","110.21741485595703","113.54127502441406"
"628","62","62","62","158.4039306640625","158.4039306640625","158.4039306640625","61","61","61","83.46800231933594","83.46800231933594","83.46800231933594","61","61","61","84.22595977783203","84.22595977783203","84.22595977783203","61","61","61","92.95408630371094","92.95408630371094","92.95408630371094","61","61","61","97.47530364990234","97.47530364990234","97.47530364990234","233.5","61","406","140.37713623046875","139.4767303466797","141.2775421142578","233.5","61","406","114.95606231689453","113.99258422851562","115.91954040527344"
